recipe_name,ingredients_raw,steps,love_count,url,category,total_ingredients,ingredients_cleaned,total_steps
bakso sapi,"250 gram daging sapi--35 gram es batu (sekitar 4 buah ukuran 2cmx2cm)--1 buah putih telur--3 sdm tepung tapioka--1 sdt garam--1/2 sdt merica bubuk--1/2 sdt baking powder--1/2 sdm bawang putih bubuk (bisa pakai 2 bawang putih, d goreng, dihaluskan)--","1) siapkan semua bahan, cincang daging sapi kecil2.
2) masukkan daging cincang kedalam blender, tambahkan es batu (es nya di haluskan juga ya)
3) proses sampai halus
4) tanbahkan putih telur. blender sampai rata. tambahkan tepung tapioka, bawang putih, garam, merica dan baking powder. proses lagi sampai tercampur rata
5) siapkan baskom besar, masukkan adonan bakso, uleni, dan banting2 adonan sampai bener2 menyatu dan teksturnya lembut seperti pasta
6) bulat2kan
7) didihkan air, sampai benar2 mendidih, kecilkan api masukkan bulatan2 bakso. jika sudah mengapung langsung angkate
8) lalu taruh d air es
9) tiriskan. siap di olah, bisa dijadikan bakso kuah, bakso goreng, bakso bakar dll
10) siap di olah, bisa dijadikan bakso kuah, bakso goreng, bakso bakar dll",939,https://cookpad.com/id/resep/3431604-bakso-sapi-pakai-blender,sapi,8,"daging sapi , es batu cmx , putih telur , tepung tapioka , garam , merica bubuk , baking powder , bawang putih bubuk bawang putih , goreng , dihaluskan",10
chilli tuna puff super,1/2 pack kulit puff instant saya merk.edo--bahan isian--1 kaleng tuna in oil pedas saya merk kingfisher--3 siung bawang putih digoreng ambil minyaknya aja--secukupnya boncabe/chili flakes--secukupnya garam--secukupnya lada--secukupnya gula--2 butir telur rebus potong2--,"1) langkah 
1.tumis chili tuna chunk dengan minyak bawang disusul jagung pipil,lalu masukkan gula+garam+merica/lada hitam sesuai selera.
2.terakhir,taburi chili flakes/boncabe dan parsley cincang,aduk rata,sisihkan
3.potong puff seperti di foto step2,isi dengan telur rebus+tuna,lalu lipat,pipihkan samping2nya menggunakan ujung garpu supaya tidak bocor
4.oles kuning telur,semprot saus+parsley
2) panggang dengan suhu kurleb 200 derajat sampai keemasan dan kokoh sekitar 18 menit atau sesuaikan oven sendiri
enjoyyy",516,https://cookpad.com/id/resep/4463240-chilli-tuna-puff-kilat-super-yummy-%f0%9f%98%99,ikan,9,"pack kulit puff instant merkedo , isian , kaleng tuna in oil pedas merk kingfisher , bawang putih digoreng ambil minyaknya , boncabe chili flakes , garam , lada , gula , telur rebus potong",3
perkedel tahu,3 buah tahu petak--1 batang daun seledri--2 siung bawang putih--2 siung bawang merah--6 butir merica--1 sdt garam--masako (optional)--3 sdm terigu--,"1) giling halus bawang merah+bawang putih+ merica+garam.
2) hancurkan tahu, tambahkan bumbu halus, daun seledri, aduk merata. lalu masukkan terigu sedikit2. koreksi rasa bl krg asin blh tmbhkan masako/ garam halus. aduk hingga merata.
3) bentuk adonan perkedel hingga adonan habis.
4) goreng perkedel dlm minyak panas, jgn lupa dibalik. angkat dan tiriskan.
5) perkedel tahu udh jd, makin enk dicocol dg saus sambal",481,https://cookpad.com/id/resep/4337985-perkedel-tahu-simple,tahu,8,"tahu petak , batang daun seledri , bawang putih , bawang merah , merica , garam , masako , terigu",5
orek tempe basah bumbu ulek,"1 papan tempe potong sesuai selera--3 buah cabe ijo iris--secukupnya kecap manis--secukupnya gula,garam,penyedap--secukupnya air--bumbu halus👇--5 siung bawang merah--2 siung bawang putih--1/2 buah tomat--3 buah cabe merah kriting/cabe rawit--2 butir kemiri--1/4 sdt ketumbar--","1) goreng tempe yg sdh di potong2 dlm minyak panas hingga matang,jgn smpe kering yah
2) tumis bumbu halus hingga harum dan benar2 matang,setelah bumbu matang tuangi air secukupnya,tuang kecap manis,gula,garam dan penyedap,tes rasanya
3) jika rasa sdh pas masukan tempe dan cabe hijau lalu aduk hingga rata dan bumbu meresap,angkat dan sajikan",452,https://cookpad.com/id/resep/3989566-orek-tempe-basah-bumbu-ulek,tempe,12,"papan tempe potong , cabe ijo , kecap manis , gula , garam , penyedap , air , bumbu halus , bawang merah , bawang putih , tomat , cabe merah kriting cabe rawit , kemiri , ketumbar",3
sop iga sapi,"1 kg iga sapi, cuci bersih, tiriskan--secukupnya air didihkan utk rebusan awal--2 liter air--2 batang wortel, potong sesuai selera--2 buah kentang, potong sesuai selera--1 buah bawang bombay ukuran sedang, potong kotak besar--1 batang kayumanis kurleb 3 cm--4 butir cengkeh--3 butir kapulaga jawa, ambil isinya--2 batang bagian putihnya daun bawang, potong-potong--secukupnya garam, gula dan kaldu bubuk (saya pakai yg non msg)--secukupnya margarine untuk menumis--bumbu yg dihaluskan :--7 siung bawang putih--1 sdt merica butir--1/2 bagian biji pala uk. kecil--pelengkap :--emping melinjo--seledri--bawang goreng--jeruk limau--sambal rawit--","1) didihkan secukupnya air, lalu masukan potongan iga sapi, rebus kurleb 5 menit, angkat, tiriskan, buang airnya ya karena perebusan pertama ini utk menghilangkan darah dan sebagian lemak supaya airnya nanti tidak terlalu berlemak. lalu rebus kembali daging iga dan 2 liter air sampai lunak. (saya pakai pressure cooker 35 menit). sisihkan.
2) tumis potongan bawang bombay menggunakan margarine sampai harum dan sisinya berkaramel. masukan bumbu halus, tumis lagi beberapa saat, kemudian masukan kayumanis, cengkeh dan kapulaga, tumis sampai matang.
3) masukan tumisan bumbu yg sudah matang kedalam rebusan iga sapi, aduk rata. nyalakan kompor. (boleh ditambahkan air jika air menyusut banyak saat proses perebusan). lalu masukan kentang dan wortel, beri garam, gula dan kaldu bubuk, masak sampai wortel dan kentang matang. tes rasa. matikan kompor. terakhir masukan potongan batang daun bawang, aduk rata kembali. angkat.
4) sajikan hangat bersama nasi dan pelengkapnya.",375,https://cookpad.com/id/resep/3310336-sop-iga-sapi-enaaak-bangeet%f0%9f%91%8c%f0%9f%91%8d,sapi,22,"iga sapi , tiriskan , air didihkan utk rebusan , air , batang wortel , potong , kentang , potong , bawang bombai , potong kotak , batang kayu manis kurleb , cengkeh , kapulaga jawa , ambil isinya , batang putihnya daun bawang , potong potong , garam , gula kaldu bubuk non msg , margarine menumis , bumbu dihaluskan , bawang putih , merica , pala , pelengkap , emping melinjo , seledri , bawang goreng , jeruk limau , sambal rawit",4
nasi goreng kambing,"3 piring nasi putih dingin--350 gr daging kambing, potong kotak--1 btg kecil kayu manis--1 sdm bubuk kari--bumbu yg dihaluskan :--8 btr bawang merah--4 siung bawang putih--1/2 sdt jintan--1/2 sdt adas--1 sdm ketumbar--2 bh kapulaga--5 bh cengkeh--1 sdt merica--secukupnya kecap manis, garam, gula, air--","1) tumis kapulaga, bumbu halus, bubuk kari sampai harum masukkan daging kambing. aduk rata
2) tambahkan air secukupnya, beri garam, gula masak sampai daging empuk dan kuah mengental
3) masukkan nasi dan kecap. aduk2 sampai merata dan nasi agak mengering
4) sajikan nasi goreng kambing dg acar kol, timun,emping dan bawang merah goreng
5) ini beneran enaaak. daging nya masak sampai empuuk ya, pakai kambing yg ada sedikit lemaknya spy lebih gurih",355,https://cookpad.com/id/resep/1041289-nasi-goreng-kambingala-kebon-sirih,kambing,14,"piring nasi putih dingin , daging kambing , potong kotak , btg kayu manis , bubuk kari , bumbu dihaluskan , bawang merah , bawang putih , jinten , adas , ketumbar , kapulaga , cengkeh , merica , kecap manis , garam , gula , air",5
lapis daging sapi,"750 daging sapi (khas dalam)--3 lembar daun salam--5 lembar daun jeruk--2 batang serai, memarkan--1 cm kayumanis--2 butir cengkih--1 sdm gula merah, sisir--1 sdm air asam jawa--3 sdm kecap manis--secukupnya garam--750 ml air (boleh tambah bila daging belum empuk)--bumbu halus:--10 butir bawang merah--6 siung bawang putih--2 cabe merah, buang biji--1 jempol lengkuas muda--4 cm kunyit--1 sdm ketumbar sangrai--5 butir kemiri, goreng--1/4 buah pala--1/2 sdt merica butiran--","1) tumis bumbu halus sampai wangi, masukkan daun salam, serai, daun jeruk, cengkih, kayumanis, aduk rata, masukkan daging, aduk2 sampai berubah warna.
2) setelah daging berubah warna bumbui garam, gula merah, air asam & kecap manis, aduk sampai rata lalu tuangi air, masak sampai daging empuk dan bumbu meresap, angkat dan sajikan.",342,https://cookpad.com/id/resep/4388878-lapis-daging-sapi,sapi,21,"daging sapi khas , daun salam , daun jeruk , serai , memarkan , kayu manis , cengkeh , gula merah , sisir , asam jawa , kecap manis , garam , air daging empuk , bumbu halus , bawang merah , bawang putih , cabe merah , buang biji , jempol lengkuas muda , kunyit , biji ketumbar , kemiri , goreng , pala , merica butiran",2
nasi kebuli,"4 gelas takar beras--secukupnya air (sesuai takaran menanak nasi)--1/2 kg daging kambing (vy : pakai sapi), potong2 dadu--4 sdm minyak goreng--3 sdm margarin (minyak samin)--5 cm kayu manis--5 butir cengkeh--2 buah bunga lawang (pekak)--3 buah kapulaga, ambil bijinya--1/2 sdt lada bubuk--2 sdt garam--1 sachet bumbu kari instan (jk berupa bubuk gunakan ±2 sdm /lbh)--bumbu halus :--7 siung bawang merah--5 siung bawang putih--2 cm kunyit--1 sdt ketumbar--pelengkap :--secukupnya telur dadar, emping goreng, acar, bawang goreng--","1) panaskan margarin dan minyak, tumis bumbu halus smp harum, masukkan kayu manis, cengkeh, pekak, kapulaga, aduk rata
2) masukkan daging, tumis smp berubah warna, masukkan bumbu kari bubuk (jika bumbunya kental tumis bersama kayu manis) aduk rata
3) beri air smp daging terendam, masukkan lada bubuk dan garam, masak smp daging empuk. matikan api (pd tahap ini cengkeh, kayu manis, kapulaga sy buang) test rasa, usahakan air terasa asin krn nanti akan ditambah air lagi
4) cuci beras, masukkan ke panci magicom, tuang rebusan daging ke panci, tambah air sesuai takaran menanak nasi dg magicom, jk suka tekstur nasi yg ambyar sesuaikan sj airnya, aduk rata, tekan tombol cook, tunggu smp matang
5) jadii deh...
6) sajikan dg ditaburi bawang goreng beserta pelengkap seperti dadar telur, emping, acar",337,https://cookpad.com/id/resep/3292806-nasi-kebuli-magicom-kitaberbagi,kambing,19,"takar beras , air takaran menanak nasi , daging kambing vy sapi , potong dadu , minyak goreng , margarin minyak samin , kayu manis , cengkeh , bunga lawang , kapulaga , ambil bijinya , lada , garam , bumbu kari instan jk bubuk ± lbh , bumbu halus , bawang merah , bawang putih , kunyit , ketumbar , pelengkap , telur dadar , emping goreng , acar , bawang goreng",6
telur crispy,3 butir telur kocok lepas--1 bungkus tepung bumbu--1 butir telur kocok buat celupan--1 sdm tepung maizena--secukupnya minyak goreng--,"1) dadar telur tipis2 lalu potong2 persegi panjang
2) campur tepung bumbu dgn maizena,lalu aduk rata
3) celup telur ke dlm telur kocok lalu gulingkan ke tepung kering sambil di remas2 pelan,lalu goreng dlm minyak panas hingga kuning keemasan,angkat dan sajikan",301,https://cookpad.com/id/resep/4024548-telur-crispy,telur,5,"telur kocok lepas , tepung bumbu , telur kocok celupan , tepung maizena , minyak goreng",3
tempe melet,"1 papan tempe,saya jadi 7 potong--bahan isi:--5 butir bawang merah--2 siung bawang putih--3 cabe merah keriting--10 cabe rawit merah,boleh + sesuaikan kepedasan lidah masing2--1 buah tomat--secukupnya trasi, (optional)--bahan tepung:--secukupnya daun bawang,--tepung bumbu serbaguna,karna ga mau ribet bikin tepung sendiri😆--","1) potong tempe menjadi bbrp bagian,belah tengahnya jgn sampe putus ya.. lebih baik potong tempe agak tebal,sisihkan
2) tumis bahan isi,klo aku smua bahan aq blender dl br aku tumis smpe matang.. terserah boleh tumis dl ato blender dl sesuai selera,beri sedikit garam
3) lalu ambil tempe yg sudah dbelah td ambil isian masukkan ditengah2 tempe
4) masukan tempe kedalam adonan tepung bumbu, btw jgn terlalu encer dan kental ya adonannya..jgn lupa jg adonan tepung diberi daun bawang, lalu tempe siap digoreng hingga matang dan sajikan hangat2",280,https://cookpad.com/id/resep/4354009-tempe-melet%f0%9f%91%85,tempe,11,"papan tempe , potong , isi , bawang merah , bawang putih , cabe merah keriting , cabe rawit merah , + kepedasan lidah , tomat , trasi , tepung , daun bawang , tepung bumbu , karna ga ribet bikin tepung",4
tahu aci,10 buah tahu bandung/tahu kuning--5 sdm tepung tapioka--1 sdm tepung terigu--1 batang daun bawang iris halus--1 sdt bawang putih halus--secukupnya kaldu bubuk--secukupnya garam--secukupnya air--bahan sambal cocolan👇--kecap manis--cabe rawit ulek kasar--campur jd satu--,"1) belah tahu membentuk segitiga lalu rendam dgn air garam,kerok dlm tahu lalu sisihkan tahunya,remas2 isian tahunya,sisihkan
2) didihkan air di panci dgn bawang putih halus
3) campur tepung dgn kaldu bubuk,garam daun bawang dan isi tahu yg sdh di remas2 td,tuangi air panas td sedikit2,aduk rata_
4) panaskan minyak goreng yg byk,ambil tahu lalu beri isian,goreng dlm minyak panas hingga matang,jika tdk mau lgsg di goreng bs di rebus atau di kukus sebentar lalu simpan di kulkas
5) klu mau buat stock di kulkas tahu aci bs di rebus sebentar atau di kukus dl yah bru di masukin kulkas,tp buat sy enak lgsg di goreng",261,https://cookpad.com/id/resep/4374296-tahu-aci,tahu,12,"tahu bandung tahu kuning , tepung tapioka , tepung terigu , batang daun bawang halus , bawang putih halus , kaldu bubuk , garam , air , sambal cocolan , kecap manis , cabe rawit ulek kasar , campur",5
nasi kebuli sapi,3 cup beras *saya pakai beras perak--1/4 kg daging sapi pilih yang mudah empuk&potong dadu--3 sdm margarine--1 bks bumbu kare instan--3 ruas jari kayu manis--secukupnya air *saya pakai air kaldu rebusan daging--3 sdm bubuk kari--bumbu halus:--4 siung bawang putih--6 butir bawang merah--1 ruas jari kunyit--1/2 sdt merica bubuk--1 sdt ketumbar bubuk--pelengkap:--telur dadar--irisan timun--kerupuk emping--sambel--,"1) cuci bersih daging kemudian rebus hingga mendidih buang air rebusan nya&bilas hingga bersih kemudian rebus kembali hingga daging empuk,sisihkan
2) panaskan margarine tumis bumbu halus hingga harum
3) tambahkan bubuk kari,kayu manis&bumbu kari instan aduk rata
4) kemudian masukan daging beserta air rebusan nya
5) masak hingga bumbu meresap ke daging
6) campurkan tumisan daging dengan beras yang telah di cuci aduk rata kemudian tekan tombol cook magic com di tengah proses memasak aduk nasi supaya bumbu nya merata *untuk takaran air nya bisa di sesuaikan seperti kita memasak nasi biasa
7) begini penampakan nasi setelah matang
8) sajikan nasi kebuli dengan pelengkap
9) nb:bila tidak punya bubuk kari bisa kita siap kan sendiri rempah pengganti blender hingga halus  2 butir pekak/bunga lawang,2 buah kapulaga ambil biji nya saja,5 butir cengkeh,1/2 sdt jintan,2 sdt kayu manis bubuk",249,https://cookpad.com/id/resep/4260620-nasi-kebuli-sapi-magic-com,sapi,18,"beras beras perak , daging sapi pilih mudah empuk & potong dadu , margarine , bumbu kare instan , kayu manis , air air kaldu rebusan daging , bubuk kari , bumbu halus , bawang putih , bawang merah , kunyit , merica bubuk , biji ketumbar , pelengkap , telur dadar , irisan timun , kerupuk emping , sambel",9
sempol udang,"200 g tepung tapioka--50 g tepung terigu--200 g udang kupas--3 siung bawang putih--1 butir telur--1 sct kaldu ayam bubuk--secukupnya garam,merica--daun bawang iris halus--air--bahan lapisan👇--2 butir telur kocok lepas + garam,merica--","1) blender udang,bawang putih,telur hingga halus lalu tuang di wadah,masukan tepung2an dan bumbu lainnya aduk hingga rata
2) didihkan air di wajan,bentuk sempolan di tusukan sate lalu rebus di air mendidih hingga matang,angkat dan tiriskan
3) panaskan minyak yg byk di wajan,ambil sempolan lalu celup di bahan pencelup,goreng dlm minyak panas hingga matang,angkat dan sajikan dgn saus sambal",249,https://cookpad.com/id/resep/3881924-sempol-udang,udang,11,"tepung tapioka , tepung terigu , udang kupas , bawang putih , telur , sct kaldu ayam bubuk , garam , merica , daun bawang halus , air , lapisan , telur kocok lepas + garam , merica",3
sate telur gulung crispy isi sosis,"4 butir telur--90 ml air--1 blok kaldu ayam--1 sdt garam--2 siung bawang putih, haluskan--1/2 sdt lada bubuk--24 tusuk sate, pastikan salah satu ujungnya diserut lebih kecil sedikit ya--3 buah sosis. potong jadi dua. masing-masing potongan belah empat. jadi 1 sosis bisa dapat 8 potong. total 24 potong--untuk menggoreng:--secukupnya minyak goreng--rantang tebal atau panci seukuran rantang untuk menggoreng. note: sengaja pake rantang biar minyak lebih irit--","1) ambil satu potongan sosis, tusukan di tusukan sate pelan-pelan. pastikan sebagian ujung tusuk satenya lebih pipih sehingga potongan sosis bisa masuk semua dengan sempurna. lakukan sampai habis. sisihkan.
2) masukan sisa semua bahan ke dalam wadah yang ujungnya lancip atau yang bercorong, agar nanti mudah saat menuangkannya.
3) selanjutnya, kocok telur sampai rata. pastikan adonan tidak terlalu kental dan tidak terlalu encer.
4) tempatkan rantang diatas kompor, tuangi minyak sampai 3/4-nya. pastikan ketika tusuk satenya dicelupkan ke dalam minyak, sosisnya terendam semua ya.
5) selanjutnya panaskan minyaknya dengan api sedang sampai benar-benar panas. lalu celupkan 1/2 batang tusuk sate dengan tetap dipegang, diamkan sebentar sampai sosis matang.
6) lalu dengan posisi tusuk sate masih terendam di minyak, tuang kocokan telur secukupnya sambil diaduk-aduk dengan arah melingkar pakai tusuk sate. gulung secepatnya ke pinggir rantang untuk membantu telur tergulung dengan rapi. setelah berwarna kuning keemasan. angkat
7) lakukan proses mengoreng sapai selesai. tata sate telur-sosis di atas tisu makan.
8) jika suka, potong gagang sate lebih pendek lagi. jadi lebih rapi dan gak terlalu kepanjangan.
9) sajikan hangat-hangat dengan saos sambal ataupun mayonnaise sesuai selera.
10) tips dan trick: setiap kali akan menuangkan adonan telor ke minyak, sebaiknya selalu dikocok terlebih dahulu, karena kalau tidak sering-sering dikocok, adonan putih telur akan mengendap dibawah, jadinya nanti kurang bagus hasilnya, jadi kurang bersarang dan menggumpal, juga jadi tidak crispy.
11) ini versi mini karena itu 1 sosis sampai dipotong jadi 8, hasilnya jadi buanyaaak..
12) kalau mau ukuran sate telur lilit yang lebih besar lagi maka sosisnya cukup dipotong jadi 2. dan kalau ukuran besar maka 1 resep bisa jadi 10-12 buah.
13) untuk penggunaan telur tidak harus melulu telur ayam atau bebek ya, ini saya nyoba pake telur puyuh juga hasilnya oke. 1 telur ayam bisa diganti dengan 4-5 telur puyuh.
14) ini isiannya pentol dan telur puyuh, hasilnya gendutz semoxxxx :d
15) untuk isian suka-suka aja ya, bisa telur puyuh rebus, potongan sosis, potongan tahu goreng, tempe goreng juga boleh.. atau kadang lagi pengen original juga bisaa, jadi langsung celup aja tanpa pake isian.. ok silahkan berkreasi sesuai selara aja ya.. ^^
16) kenapa sih nggorengnya kok pake rantang? alesannya biar lebih irit aja sih. karena wajan cekung di rumah adanya ukuran jumbo..mau pake panci juga kegedean. haish... bisa tambah boros minyak kan. makanya rantang nasi, rantang susu yg ukurannya mini jadi sasaran buat penggorengannya dah hehe..monggo ditiru :d
17) dikirimin rikuk sama temen nih... emang anti gagal nih.. bisa dicoba ^^",245,https://cookpad.com/id/resep/3168286-sate-telur-gulung-crispy-ekonomis-isi-sosis-1-resep-jadi-24pcs,telur,11,"telur , air , blok kaldu ayam , garam , bawang putih , haluskan , lada , tusuk sate , pastikan salah ujungnya diserut , sosis potong potongan belah sosis potong total potong , minyak goreng , rantang tebal panci seukuran rantang note sengaja pake rantang biar minyak irit",17
tenggiri kuah asam pedas,"500 gram ikan tenggiri, potong bulat--1 buah jeruk nipis, ambil airnya--2 buah tomat hijau, potong kasar--2 batang serai, memarkan--3 cm jahe, memarkan--4 cm kunyit, bakar lalu memarkan--5 buah belimbing wuluh, belah 2--10 buah cabe rawit utuh--5 buah  cabe merah keriting, iris serong--10 buah cabe rawit, iris serong--1 batang daun bawang, potong kasar--750 ml air--secukupnya garam, gula & lada bubuk--bumbu iris tipis:--6 butir bawang merah--3 siung bawang putih--","1) cuci bersih ikan, lumuri air jeruk nipis, diamkan 15 menit, cuci kembali sampai bersih, sisihkan.
2) rebus air dalam panci hingga mendidih.
3) tumis bumbu sampai wangi, masukkan cabe, daun jeruk, kunyit, serai & jahe, aduk2 sampai layu, tuang tumisan bumbu kedalam panci berisi air mendidih, bumbui garam & gula, masukkan ikan, masak sampai mendidih kembali.
4) masukkan belimbing wuluh & cabe rawit utuh, masak sampai bumbu meresap, tes rasa, sebelum diangkat masukkan irisan tomat hijau, matikan api, taburi daun bawang sajikan. (boleh taburi daun kemangi bila suka)",242,https://cookpad.com/id/resep/4460709-tenggiri-kuah-asam-pedas,ikan,16,"ikan tenggiri , potong bulat , jeruk nipis , ambil airnya , tomat hijau , potong kasar , serai , memarkan , jahe , memarkan , kunyit , bakar memarkan , belimbing wuluh , belah , cabe rawit utuh , cabe merah keriting , serong , cabe rawit , serong , batang daun bawang , potong kasar , air , garam , gula & lada , bumbu tipis , bawang merah , bawang putih",4
ayam goreng bawang khas batam,"1/2 ekor ayam bagian apa saja,potong kecil""--1 bonggol bawang putih,cuci&geprek dengan kulit"" nya--1 butir telur--3 sdm tepung maizena--secukupnya garam&kaldu jamur--secukupnya minyak goreng--bumbu halus:--6 siung bawang putih--5 butir bawang merah--1 sdt ketumbar bubuk--1/2 sdt merica bubuk--1,5 ruas jari jahe--1 ruas jari kunyit--","1) cuci ayam hingga bersih kemudian tiriskan masukan bumbu halus,garam,kaldu jamur tepung maizena&telur aduk hingga tercampur rata
2) diamkan kurang lebih 30 menit di kulkas supaya bumbu meresap
3) panaskan minyak goreng kemudian goreng bawang putih hingga kuning&garing tiriskan
4) kemudian goreng ayam hingga coklat keemasan&matang merata *saya pakai api kecil saja* untuk ayam nya goreng bertahap jangan sekali goreng semua nya angkat&tiriskan
5) ayam goreng bawang siap di sajikan",237,https://cookpad.com/id/resep/4345660-ayam-goreng-bawang-khas-batam,ayam,13,"ayam , potong '' , bonggol bawang putih , & geprek kulit '' nya , telur , tepung maizena , garam & kaldu jamur , minyak goreng , bumbu halus , bawang putih , bawang merah , biji ketumbar , merica bubuk , jahe , kunyit",5
ayam goreng kecap,"1/2 ekor ayam, potong-potong--1/2 bawang bombay, iris memanjang--2 cm jahe memarkan--2 cabe merah, iris serong--2 siung bawang putih, ulek halus/ cincang halus--1 batang daun bawang, iris--1/2 sdt gula--secukupnya merica, garam--175 ml air/ secukupnya--minyak utk menggoreng--","1) lumuri ayam dg air jeruknipus dan garam, remas2, bilas bersih. ungkep ayam dg garam dan merica. boleh jg lgs goreng tp potong agak kecil.
2) setelah diungkep, goreng ayam hngga sedikit kecokelatan, angkat.
3) panaskan secukupnya minyak, tumis bawang putih dan jahe, masukkan bawang bombay, tumis hingga harum. masukkan cabe merah iris, ayam goreng, bubuhi gula garam, merica dan kecap, tuangair. masak hingga kuah mengental, sesaat sblm diangkat, masukkan daun bawang.
4) angkat ayam dan sajikan",218,https://cookpad.com/id/resep/4379354-ayam-goreng-kecap,ayam,10,"ayam , potong potong , bawang bombai , memanjang , jahe memarkan , cabe merah , serong , bawang putih , ulek halus cincang halus , batang daun bawang , gula , merica , garam , air , minyak utk",4
tempe isi sambel,tempe--tepung bumbu ayam goreng krispi instan--sedikit air matang--minyak goreng--bahan sambel :--bawang merah--bawang putih--tomat--cabe rawit--kemangi--garam dan penyedap--,"1) ulek kasar semua bahan sambel kecuali kemangi, tumis sebentar dengan sedikit minyak. beri kemangi, sisihkan
2) potong tempe dan iris tidak putus bagian tengahnya, isi sambel tumis tadi
3) siapkan tepung bumbu beri air, adonan kental ya
4) panaskan minyak goreng lalu lumuri tempe isi dengan adonan basah tepung sampai tertutup merata
5) goreng hingga matang
6) sajikan",198,https://cookpad.com/id/resep/4251330-tempe-isi-sambel,tempe,11,"tempe , tepung bumbu ayam goreng krispi instan , air matang , minyak goreng , sambel , bawang merah , bawang putih , tomat , cabe rawit , kemangi , garam penyedap",8
pindang tongkol suwir sambal matah,"2 ekor pindang tongkol uk. sedang--3 lmbr daun jeruk, buang tulang dan iris tipis--2 btg sereh, iris rajang--8-10 siung bawang merah, iris rajang--7 bh cabe kecil, iris--secukupnya garam--secukupnya minyak kelapa--1/2 bh jeruk limau, ambil airnya--","1) suwir kasar pindang tongkol lalu goreng dgn sedikit minyak di atas teflon, aduk terus sampai agak mengering
2) campur bawang, cabe, sereh, daun jeruk, garam dan minyak kelapa lalu remas"" kemudian campur dgn ikan suwirnya, lalu kucuri dgn jeruk limau, aduk rata
3) sajikan",197,https://cookpad.com/id/resep/4017722-pindang-tongkol-suwir-sambal-matah,ikan,8,"pindang tongkol , daun jeruk , buang tulang tipis , serai , rajang , bawang merah , rajang , cabe , garam , minyak kelapa , jeruk limau , ambil airnya",3
ikan asin gabus kering cabe gendot,"250 gr gabus kering potong""--4 buah cabe gendot potong kasar--3 buah cabe hijau iris serong--1 lembar daun salam robek 2--7 buah bawang merah iris--5 buah bawang merah iris--1 buah tomat kecil iris kasar--2 papan pete--100 ml air--ga4am--gula--optional penyedap--minyak untuk menumis--","1) rendam ikan asin dengan air panas beberapa saat agar garamnya berkurang lalu cuci bersih kemudian goreng kering
2) tumis semua bumbu iris, pete, di tambah daun salam hingga harum lalu masukan ikan asin lalu aduk rata kemudian tambahkan air dan tutup sebentar
3) menjelang di angkat masukan tomat iris lalu test rasa dahulu jika ku4ang asin bisa d tambahkan bumbu tambahan garam, gula pasir dan penyedap (optional)
4) jika semua rasa sudah oke angkat dan sajikan
5) nb : test rasa dahulu seblum di tmbahkan bumbu tambahan agar makanan yang di sajikan tidak keasinan karena beberapa ikan asin memiliki rasa asin yang kuat... jika tidak test rasa khawatir makanan keasinan...
6) selamat mencoba... jangn lupa yah reecook",196,https://cookpad.com/id/resep/4067418-ikan-asin-gabus-kering-cabe-gendot-by-dapoer-linggar,ikan,13,"gabus kering potong '' , cabe gendot potong kasar , cabe hijau serong , daun salam robek , bawang merah , bawang merah , tomat kasar , papan pete , air , ga am , gula , penyedap , minyak menumis",6
japchae with beef korean noodle,"200 g bihun/soun seduh air panas--200 g daging sapi iris tipis--1 buah wortel potong korek api--secukupnya jamur kuping potong2--1 buah bawang bombay potong2--1 buah paprika merah,ijo,potong korek api--1 tangkai daun bawang potong2--2 siung bawang putih haluskan--1 sdm minyak wijen--1 sdm kecap asin--secukupnya kecap manis--secukupnya kaldu jamur--secukupnya gula--secukupnya wijen untuk taburan--","1) marinated daging sapi dgn 2 siung bawang putih halus,secuil jahe,gula,garam,merica dan kecap asin,campur dlm 1 wadah,soun,minyak wijen,kecap asin,kecap manis,kaldu bubuk,gula aduk rata
2) panaskan minyak goreng,tumis bawang putih dan bombay hingga harum,masukan wortel,paprika,jamur,tumis hingga layu,masukan daging sapi,aduk trs hingga berubah warna
3) masukan soun aduk rata dan semua bumbu menyatu,terakhir masukan daun bawang aduk sebentar,angkat dan sajikan dgn taburan wijen",195,https://cookpad.com/id/resep/3626986-japchae-with-beef-korean-noodle-%f0%9f%8d%9d-pr_asianfood,sapi,14,"bihun soun seduh air panas , daging sapi tipis , wortel potong korek api , jamur kuping potong , bawang bombai potong , paprika merah , ijo , potong korek api , tangkai daun bawang potong , bawang putih haluskan , minyak wijen , kecap asin , kecap manis , kaldu jamur , gula , wijen",3
